Longitude,Latitude,Elevation (m),Altitude (m),Clutter height (m),Distance (m),PathLoss(db)
3.162449751,6.675256637,48,55,16,51,136
3.162440857,6.675247531,48,55,16,52,136
3.162431857,6.675247424,48,54,16,52,139
3.162422856,6.675247317,48,54,16,53,139
3.162413856,6.67524721,48,54,16,54,139
3.162404855,6.675247104,48,54,16,55,143
3.162395855,6.675246997,48,54,16,56,143
3.162386854,6.67524689,48,54,16,57,146
3.162377854,6.675246783,48,54,16,58,146
3.162368961,6.675237677,48,54,16,59,144
3.16235996,6.67523757,48,54,16,60,140
3.16235096,6.675237463,48,54,16,61,140
3.162341959,6.675237356,48,54,16,62,143
3.162332959,6.675237249,48,54,16,62,143
3.162324065,6.675228143,48,54,16,63,143
3.162306064,6.675227929,48,54,16,65,142
3.162297064,6.675227822,48,54,16,66,142
3.162297171,6.675218823,48,54,16,66,140
3.16228817,6.675218717,48,54,16,67,140
3.162279277,6.675209611,48,54,16,67,144
3.162279277,6.675209611,48,53,16,67,143
3.162270384,6.675200505,48,53,16,68,143
3.16226149,6.675191399,47,53,16,69,136
3.162252597,6.675182293,47,53,16,70,139
3.162252704,6.675173294,47,53,16,70,139
3.162252811,6.675164296,47,53,16,69,142
3.162252918,6.675155297,47,53,16,69,136
3.162244024,6.675146191,47,53,16,70,136
3.162244131,6.675137192,47,53,16,70,138
3.162244238,6.675128193,47,53,16,70,144
3.162244345,6.675119194,47,53,16,70,144
3.162244452,6.675110195,47,53,16,70,148
3.162235558,6.67510109,47,53,16,71,148
3.162235665,6.675092091,47,53,16,71,148
3.16224488,6.6750742,47,53,16,70,149
3.162244987,6.675065201,47,53,16,69,146
3.162245094,6.675056202,47,53,16,70,146
3.162245201,6.675047203,47,53,16,70,144
3.162245415,6.675029206,47,53,16,70,144
3.162245629,6.675011208,47,53,16,70,147
3.162245736,6.675002209,47,53,16,70,147
3.16224595,6.674984211,47,53,16,70,151
3.162246057,6.674975212,47,53,16,70,156
3.16224627,6.674957215,47,53,16,71,156
3.162246377,6.674948216,47,53,16,71,150
3.162255592,6.674930325,47,53,16,70,150
3.162255699,6.674921326,47,53,16,70,155
3.162255913,6.674903328,47,53,16,71,155
3.16225602,6.67489433,47,53,16,71,151
3.162256234,6.674876332,47,53,16,72,151
3.162265448,6.674858441,47,53,16,71,152
3.162265555,6.674849442,47,53,16,72,153
3.162265769,6.674831445,47,53,16,72,153
3.162265876,6.674822446,47,53,16,73,153
3.16226609,6.674804448,47,53,16,74,153
3.162266197,6.674795449,47,53,16,74,154
3.162275411,6.674777558,47,53,16,74,154
3.162275518,6.674768559,47,53,16,74,153
3.162275625,6.674759561,47,53,16,75,153
3.162275732,6.674750562,47,53,16,75,153
3.162275839,6.674741563,47,53,16,76,150
3.162276053,6.674723565,47,53,16,77,150
3.16227616,6.674714566,47,53,16,77,153
3.162276374,6.674696568,47,53,16,78,153
3.162285374,6.674696675,47,53,16,77,153
3.162285481,6.674687677,47,53,16,78,153
3.162285695,6.674669679,47,53,16,79,153
3.162285802,6.67466068,47,53,16,80,149
3.162286016,6.674642682,47,53,16,81,149
3.162286337,6.674615686,47,53,16,83,147
3.162286444,6.674606687,47,53,16,83,149
3.162295658,6.674588796,48,53,16,84,149
3.162295765,6.674579797,48,53,16,84,145
3.162295979,6.674561799,48,53,16,86,145
3.1622963,6.674534803,48,53,16,88,150
3.162296407,6.674525804,48,53,16,88,144
3.162305621,6.674507913,48,53,16,89,144
3.162305728,6.674498914,48,53,16,90,147
3.162305942,6.674480917,48,53,16,91,147
3.162306156,6.674462919,48,53,6,92,144
3.162306263,6.67445392,48,53,6,93,144
3.16230637,6.674444921,48,53,6,94,143
3.162315585,6.67442703,48,53,6,95,143
3.162315691,6.674418031,48,53,6,96,147
3.162315905,6.674400034,48,53,6,97,147
3.162316012,6.674391035,48,53,6,98,148
3.162316119,6.674382036,48,53,6,99,148
3.162316226,6.674373037,48,53,6,99,148
3.162316333,6.674364038,48,53,6,100,147
3.162325548,6.674346147,48,53,6,101,147
