"Longitude","Latitude","Elevation","Altitude","Clutter_height","Distance","Path_Loss"
3.16318652,6.676129406,52,56,4,123,"F"
3.163177305,6.676147297,52,56,4,125,"F"
3.163177198,6.676156296,52,56,4,126,"F"
3.163177198,6.676156296,52,56,4,126,"E"
3.163177091,6.676165295,52,56,4,127,"E"
3.163167877,6.676183185,52,56,4,128,"E"
3.163167877,6.676183185,52,56,4,128,"F"
3.163158556,6.676210075,52,56,4,131,"F"
3.163158449,6.676219074,52,56,4,132,"E"
3.163158235,6.676237072,52,56,4,134,"E"
3.163158235,6.676237072,52,56,4,134,"E"
3.163149127,6.676245964,52,56,4,135,"E"
3.163148806,6.67627296,52,56,4,138,"E"
3.163148806,6.67627296,52,56,4,138,"E"
3.163148699,6.676281959,52,56,4,139,"E"
3.163139592,6.676290851,52,56,4,139,"E"
3.163139485,6.67629985,52,56,4,140,"E"
3.163139485,6.67629985,52,56,4,140,"E"
3.163139378,6.676308849,52,56,4,141,"E"
3.163130163,6.67632674,52,56,4,143,"E"
3.163130056,6.676335739,52,56,4,144,"E"
3.163129736,6.676362735,52,56,4,147,"E"
3.163129736,6.676362735,52,56,4,147,"F"
3.163129629,6.676371734,52,56,4,148,"F"
3.163120414,6.676389625,52,56,4,150,"F"
3.163120414,6.676389625,52,56,4,150,"E"
3.1631202,6.676407623,52,56,4,152,"E"
3.163111093,6.676416515,52,56,4,152,"E"
3.163110986,6.676425513,52,56,4,153,"E"
3.163110772,6.676443511,52,56,4,155,"E"
3.163110772,6.676443511,52,56,4,155,"D"
3.163101664,6.676452403,52,56,4,156,"D"
3.163101343,6.6764794,52,56,4,159,"D"
3.163092343,6.676479293,52,56,4,159,"D"
3.163092022,6.676506289,52,56,4,162,"D"
3.163092022,6.676506289,52,56,4,162,"E"
3.163091915,6.676515288,52,56,4,163,"E"
3.163082807,6.67652418,52,56,4,164,"E"
3.1630827,6.676533179,52,56,4,165,"E"
3.1630827,6.676533179,52,56,4,165,"E"
3.163073379,6.676560069,52,56,4,167,"E"
3.163073379,6.676560069,52,56,4,167,"E"
3.163073272,6.676569068,52,57,4,168,"E"
3.163063951,6.676595957,52,57,4,171,"E"
3.163063951,6.676595957,52,57,4,171,"E"
3.163054736,6.676613848,52,57,4,173,"E"
3.163054736,6.676613848,52,57,4,173,"F"
3.163054629,6.676622847,52,57,4,174,"F"
3.163045415,6.676640738,52,57,4,176,"F"
3.163045201,6.676658736,52,57,4,178,"F"
3.163044987,6.676676733,52,57,4,180,"F"
3.163035986,6.676676626,52,57,4,180,"F"
3.163035665,6.676703623,52,57,4,183,"F"
3.163035665,6.676703623,52,57,4,183,"E"
3.163026344,6.676730513,52,57,4,186,"E"
3.163017129,6.676748403,51,57,4,187,"E"
3.163016916,6.676766401,51,57,4,189,"E"
3.163007701,6.676784292,51,57,4,191,"E"
3.163007487,6.67680229,51,57,4,193,"E"
3.16300738,6.676811289,51,57,4,194,"E"
3.16300738,6.676811289,51,57,4,194,"E"
3.162998059,6.676838178,51,57,4,197,"E"
3.162998059,6.676838178,51,57,4,197,"E"
3.162988737,6.676865068,51,57,4,200,"E"
3.162988737,6.676865068,51,57,4,200,"E"
3.16298863,6.676874067,51,57,4,201,"E"
3.162979416,6.676891958,51,57,4,203,"E"
3.162979309,6.676900956,51,57,4,204,"E"
3.162979095,6.676918954,51,57,4,206,"E"
3.162979095,6.676918954,51,57,4,206,"E"
3.162969773,6.676945844,51,57,4,209,"E"
3.162969773,6.676945844,51,57,4,209,"E"
3.162960559,6.676963735,51,57,4,211,"E"
3.162960452,6.676972733,51,57,4,212,"E"
3.162960452,6.676972733,51,57,4,212,"E"
3.162960345,6.676981732,51,57,4,213,"E"
3.16295113,6.676999623,51,57,4,215,"E"
3.16295113,6.676999623,51,57,4,215,"D"
3.162951023,6.677008622,51,57,4,216,"D"
3.162950809,6.67702662,51,57,4,218,"D"
3.162941809,6.677026513,51,57,4,218,"D"
3.162941809,6.677026513,51,57,4,218,"E"
3.162941488,6.677053509,51,57,4,221,"E"
3.162941488,6.677053509,51,57,4,221,"D"
3.162932166,6.677080399,51,57,4,224,"D"
3.162932166,6.677080399,51,57,4,224,"D"
3.162932059,6.677089398,51,57,4,225,"D"
3.162922738,6.677116288,51,57,4,228,"D"
3.162922524,6.677134285,51,57,4,230,"D"
3.162913417,6.677143177,51,57,4,231,"D"
3.16291331,6.677152176,51,57,4,232,"D"
3.162913096,6.677170174,51,57,4,234,"D"
3.162913096,6.677170174,51,57,4,234,"D"
3.162903774,6.677197063,51,57,4,237,"D"
3.162903453,6.67722406,51,57,4,240,"D"
3.162894453,6.677223953,51,57,4,240,"D"
3.162894453,6.677223953,51,57,4,240,"D"
3.162894346,6.677232952,51,57,4,241,"D"
3.162894132,6.67725095,51,57,4,243,"D"
3.162894132,6.67725095,51,57,4,243,"D"
3.162894025,6.677259949,51,57,4,244,"D"
3.16288481,6.677277839,51,57,4,246,"D"
3.16288481,6.677277839,51,57,4,246,"D"
3.162884596,6.677295837,51,57,4,248,"D"
3.162884489,6.677304836,51,57,4,249,"D"
3.162884382,6.677313835,51,57,4,250,"D"
3.162875382,6.677313728,51,57,4,250,"D"
3.162875061,6.677340724,51,57,4,253,"D"
3.162875061,6.677340724,51,57,4,253,"D"
3.162874954,6.677349723,51,57,4,254,"D"
3.162865739,6.677367614,51,57,4,256,"D"
3.162865739,6.677367614,51,57,4,256,"D"
3.162865632,6.677376613,51,57,4,257,"D"
3.162865418,6.677394611,51,57,4,259,"D"
3.162865418,6.677394611,51,57,4,259,"D"
3.162856418,6.677394504,51,57,4,259,"D"
3.162856097,6.6774215,51,57,4,262,"D"
3.162856097,6.6774215,51,57,4,262,"D"
3.16285599,6.677430499,51,57,4,263,"D"
3.162855883,6.677439498,51,57,4,264,"D"
3.162846775,6.67744839,51,57,4,265,"D"
3.162846775,6.67744839,51,57,4,265,"D"
3.162846454,6.677475387,51,57,4,268,"D"
3.162846454,6.677475387,51,57,4,268,"E"
3.162837133,6.677502276,51,57,4,270,"E"
3.162837133,6.677502276,51,57,4,270,"E"
3.162836919,6.677520274,51,57,4,272,"E"
3.162827811,6.677529166,51,57,4,274,"E"
3.162827597,6.677547164,51,57,4,276,"E"
3.162827597,6.677547164,51,57,4,276,"E"
3.162818383,6.677565054,51,57,4,278,"E"
3.162818276,6.677574053,51,57,4,279,"E"
3.162818276,6.677574053,51,57,4,279,"E"
3.162808954,6.677600943,51,57,4,282,"E"
3.162808954,6.677600943,51,57,4,282,"E"
3.162808633,6.67762794,52,57,4,285,"E"
3.162808633,6.67762794,52,57,4,285,"D"
3.162799419,6.67764583,52,57,4,287,"D"
3.162799419,6.67764583,52,57,4,287,"D"
3.162799205,6.677663828,52,57,4,289,"D"
3.162799205,6.677663828,52,57,4,289,"E"
3.162798991,6.677681826,52,57,4,291,"E"
3.162798884,6.677690825,52,57,4,292,"E"
3.162798884,6.677690825,52,57,4,292,"D"
3.162798777,6.677699824,52,57,4,293,"D"
3.162789669,6.677708715,52,57,4,294,"D"
3.162789669,6.677708715,52,57,4,294,"E"
3.162789562,6.677717714,52,57,4,295,"E"
3.162789455,6.677726713,52,57,4,296,"E"
3.162789455,6.677726713,52,57,4,296,"E"
3.162789348,6.677735712,52,57,4,297,"E"
3.162789241,6.677744711,52,57,4,298,"E"
3.162789241,6.677744711,52,57,4,298,"C"
3.162798028,6.677762816,52,57,4,300,"C"
3.162798028,6.677762816,52,57,4,300,"D"
3.162797814,6.677780813,52,57,4,302,"D"
3.162797814,6.677780813,52,57,4,302,"D"
3.162806814,6.67778092,52,57,4,302,"D"
3.162806707,6.677789919,52,57,4,303,"D"
3.162806707,6.677789919,52,57,4,303,"D"
3.162815601,6.677799025,52,57,4,304,"D"
3.162824494,6.677808131,52,57,4,305,"D"
3.162824494,6.677808131,52,57,4,305,"E"
3.162833388,6.677817237,52,57,4,305,"E"
3.162833388,6.677817237,52,57,4,305,"E"
3.162842281,6.677826343,52,57,4,307,"E"
3.162842281,6.677826343,52,57,4,307,"D"
3.162851175,6.677835449,52,57,4,308,"D"
3.162851175,6.677835449,52,57,4,308,"E"
3.162860175,6.677835556,52,57,4,308,"E"
3.162869176,6.677835663,52,57,4,308,"E"
3.162878176,6.67783577,52,57,4,308,"D"
3.16288707,6.677844875,52,57,4,309,"D"
3.16288707,6.677844875,52,57,4,309,"D"
3.16289607,6.677844982,52,57,4,309,"D"
3.162914071,6.677845196,52,57,4,309,"D"
3.162914071,6.677845196,52,57,4,309,"E"
3.162932072,6.67784541,52,57,4,309,"E"
3.162932072,6.67784541,52,57,4,309,"D"
3.162941073,6.677845517,52,57,4,309,"D"
3.162959074,6.677845731,52,58,4,309,"D"
3.162959074,6.677845731,52,58,4,309,"E"
3.162968074,6.677845838,52,58,4,309,"E"
3.162977075,6.677845945,52,58,4,309,"E"
3.162977075,6.677845945,52,58,4,309,"D"
3.162986075,6.677846052,52,58,4,309,"D"
3.163004076,6.677846266,52,58,4,309,"D"
3.163004076,6.677846266,52,58,4,309,"D"
3.163013077,6.677846373,52,58,4,309,"D"
3.163031078,6.677846587,52,58,4,309,"D"
3.163031078,6.677846587,52,58,4,309,"D"
3.163049079,6.677846801,52,58,4,309,"D"
3.163058079,6.677846908,52,58,4,310,"D"
3.163058079,6.677846908,52,58,4,310,"D"
3.163084974,6.677856228,52,58,4,311,"D"
3.163084974,6.677856228,52,58,4,311,"D"
3.163102975,6.677856442,52,58,4,311,"D"
3.163102975,6.677856442,52,58,4,311,"E"
3.163111975,6.677856549,52,58,4,311,"E"
3.163129976,6.677856763,52,58,4,311,"E"
3.163129976,6.677856763,52,58,4,311,"E"
3.16314787,6.677865976,52,58,4,312,"E"
3.163156871,6.677866083,52,58,4,313,"E"
3.163156871,6.677866083,52,58,4,313,"E"
3.163165871,6.67786619,52,59,4,313,"E"
3.163174872,6.677866297,52,59,4,313,"E"
3.163183872,6.677866404,52,59,4,313,"E"
3.163183872,6.677866404,52,59,4,313,"D"
3.163210767,6.677875723,52,59,4,314,"D"
3.163210767,6.677875723,52,59,4,314,"D"
3.163228768,6.677875937,52,59,4,315,"D"
3.163237768,6.677876044,53,59,4,315,"D"
3.163246769,6.677876151,53,59,4,315,"D"
3.163264663,6.677885364,53,59,4,316,"D"
3.163264663,6.677885364,53,59,4,316,"F"
3.163273663,6.677885471,53,59,4,316,"F"
3.163300665,6.677885792,53,59,4,317,"F"
3.163300665,6.677885792,53,59,4,317,"E"
3.163327559,6.677895112,53,59,4,318,"E"
3.16333656,6.677895219,53,59,4,318,"E"
3.16334556,6.677895326,53,59,4,319,"E"
3.163354561,6.677895433,53,59,4,319,"E"
3.163354561,6.677895433,53,59,4,319,"E"
3.163363561,6.67789554,53,59,4,319,"E"
3.163381455,6.677904753,53,59,4,320,"E"
3.163381455,6.677904753,53,59,4,320,"E"
3.163399457,6.677904967,53,59,4,321,"E"
3.163408457,6.677905074,53,59,4,321,"E"
3.163417458,6.677905181,53,59,4,321,"E"
3.163417458,6.677905181,53,59,4,321,"E"
3.163426458,6.677905288,53,59,4,321,"E"
3.163444352,6.6779145,53,60,4,323,"E"
3.163444352,6.6779145,53,60,4,323,"E"
3.163453353,6.677914607,53,60,4,323,"E"
3.163471354,6.677914821,53,60,4,323,"E"
3.163480354,6.677914928,53,60,4,324,"E"
3.163507249,6.677924248,53,60,4,325,"E"
3.163507249,6.677924248,53,60,4,325,"E"
3.16352525,6.677924462,53,60,4,326,"E"
3.16353425,6.677924569,53,60,4,326,"E"
3.16353425,6.677924569,53,60,4,326,"E"
3.163552251,6.677924783,53,60,4,326,"E"
3.163570145,6.677933996,53,60,4,328,"E"
3.163570145,6.677933996,53,60,4,328,"E"
3.163579146,6.677934103,53,60,4,328,"E"
3.163606147,6.677934424,54,60,4,329,"E"
3.163606147,6.677934424,54,60,4,329,"F"
3.163615148,6.677934531,54,60,4,329,"F"
3.163642042,6.677943851,54,60,4,331,"F"
3.163642042,6.677943851,54,60,4,331,"E"
3.163651043,6.677943958,54,60,4,331,"E"
3.163669044,6.677944171,54,60,4,332,"E"
3.163669044,6.677944171,54,60,4,332,"F"
3.163678045,6.677944278,54,60,4,332,"F"
3.163704939,6.677953598,54,60,4,334,"F"
3.163731941,6.677953919,54,60,4,335,"F"
3.163731834,6.677962918,54,60,4,336,"F"
3.163731834,6.677962918,54,60,4,336,"F"
3.163758835,6.677963239,54,61,4,337,"F"
3.163767836,6.677963346,54,61,4,337,"G"
3.163803731,6.677972773,54,61,4,339,"G"
3.163803731,6.677972773,54,61,4,339,"F"
3.163812731,6.67797288,54,61,4,340,"F"
3.163830732,6.677973094,54,61,4,340,"F"
3.163830732,6.677973094,54,61,4,340,"G"
3.163848626,6.677982306,54,61,4,342,"G"
3.163857627,6.677982413,54,61,4,342,"G"
3.163857627,6.677982413,54,61,4,342,"F"
3.163884629,6.677982734,54,61,4,343,"F"
3.163893522,6.67799184,54,61,4,344,"F"
3.163902523,6.677991947,54,61,4,345,"F"
3.163929524,6.677992268,54,61,4,346,"F"
3.163929524,6.677992268,54,61,4,346,"G"
